id;department;email_address;phone_number
1;Lead metrics;connecting incubate;India synthesizing payment
2;Cambridgeshire payment;Bypass Barbados;compressing Product administration
3;neural applications;Chair;Ergonomic context-sensitive
4;Dollar);Electronics open-source;Incredible magenta
5;homogeneous process magenta;Leone;Ukraine relationships
6;robust Garden Jewelery;eyeballs Architect;calculating Fantastic
7;Point;Response;China Shoes Personal
8;Assistant;secured;Inverse architect
9;e-markets Account;withdrawal Awesome;Dakota
10;Industrial;Assimilated capability fresh-thinking;Syrian
